352,191
337,221
325,258
311,295
423,117
406,132
390,150
371,174
355,205
339,242
324,284
312,332
462,92
449,103
434,116
416,133
397,155
379,186
360,224
341,269
326,323
319,384
501,73
490,80
478,90
464,102
448,115
429,134
410,164
388,202
366,250
347,310
337,381
341,455
530,65
522,70
512,78
501,88
486,100
469,115
450,143
426,176
402,226
378,293
364,377
368,467
388,545
566,54
562,58
555,63
548,69
540,77
530,87
516,99
501,123
480,152
456,200
427,269
408,370
414,484
443,571
597,51
594,54
591,58
587,64
583,70
578,79
571,88
563,108
550,133
536,177
516,246
497,362
504,502
529,594
628,47
628,50
628,53
628,57
627,62
630,69
630,77
630,86
632,104
632,127
634,167
637,238
640,360
643,507
640,599
657,48
658,51
662,55
665,60
669,65
673,72
681,82
688,91
698,112
713,138
130,182
751,252
770,362
769,492
748,583
689,56
693,60
700,65
707,71
717,81
727,92
741,105
757,128
777,158
802,206
827,274
844,368
841,469
822,554
717,61
724,67
732,73
743,82
754,92
769,106
786,123
805,149
827,182
850,230
872,294
885,372
882,455
867,527
744,70
752,76
764,84
775,94
787,106
804,122
822,142
841,171
863,205
883,253
899,309
908,374
907,443
779,87
790,96
802,108
817,123
833,139
851,162
869,189
889,226
904,269
918,322
924,378
815,109
826,121
842,138
857,155
874,179
891,209
907,243
920,284
930,329
876,171
891,195
907,226
919,257
931,293
